No.,Pokémon,Entry,Bucket,Weight,Lv. Min,Lv. Max,Biomes,Excluded Biomes,Time,Weather,Multipliers,Context,Presets,Conditions,Anticonditions,skyLightMin,skyLightMax,canSeeSky,Patternkey=Value
0001,Bulbasaur,1,ultra-rare,6,5,32,"Jungle, Tropical Island",,any,any,,grounded,Natural,,,8,15,,
0002,Ivysaur,1,ultra-rare,3.6,16,40,"Jungle, Tropical Island",,any,any,,grounded,Natural,,,8,15,,
0003,Venusaur,1,ultra-rare,0.4,32,52,"Jungle, Tropical Island",,any,any,,grounded,Natural,,,8,15,,
0004,Charmander,1,ultra-rare,6,5,31,"Hills, Volcanic",,any,clear,,grounded,Natural,,,8,15,,
0004,Charmander,2,ultra-rare,6,5,31,Nether Basalt,,any,any,,grounded,Natural,,,,,any,
0005,Charmeleon,1,ultra-rare,3.6,16,40,"Hills, Volcanic",,any,clear,,grounded,Natural,,,8,15,,
0005,Charmeleon,2,ultra-rare,3.6,16,40,Nether Basalt,,any,any,,grounded,Natural,,,,,any,
0006,Charizard,1,ultra-rare,0.4,36,53,"Hills, Volcanic",,any,clear,,grounded,Natural,,,8,15,,
0006,Charizard,2,ultra-rare,0.4,36,53,Nether Basalt,,any,any,,grounded,Natural,,,,,any,
0007,Squirtle,1,ultra-rare,6,5,31,"Freshwater, Hills, Jungle, Temperate, Tropical Island",Freezing,any,any,,grounded,Natural,minecraft:water,,8,15,,
0007,Squirtle,2,ultra-rare,6,5,31,"Freshwater, Hills, Jungle, Temperate, Tropical Island",Freezing,any,any,,submerged,Water,,,,,TRUE,
0007,Squirtle,3,ultra-rare,6,5,31,"Freshwater, Hills, Jungle, Temperate, Tropical Island",Freezing,any,any,,fishing,,,,,,TRUE,
0007,Squirtle,4,ultra-rare,6,5,31,"Freshwater, Hills, Jungle, Temperate, Tropical Island",Freezing,any,any,,submerged,Water,,,8,15,FALSE,
0007,Squirtle,5,ultra-rare,6,5,31,"Freshwater, Hills, Jungle, Temperate, Tropical Island",Freezing,any,any,,fishing,,,,8,15,FALSE,
0008,Wartortle,1,ultra-rare,3.6,16,40,"Freshwater, Hills, Jungle, Temperate, Tropical Island",Freezing,any,any,,grounded,Natural,minecraft:water,,8,15,,
0008,Wartortle,2,ultra-rare,3.6,16,40,"Freshwater, Hills, Jungle, Temperate, Tropical Island",Freezing,any,any,,submerged,Water,,,,,TRUE,
0008,Wartortle,3,ultra-rare,3.6,16,40,"Freshwater, Hills, Jungle, Temperate, Tropical Island",Freezing,any,any,,fishing,,,,,,TRUE,
0008,Wartortle,4,ultra-rare,3.6,16,40,"Freshwater, Hills, Jungle, Temperate, Tropical Island",Freezing,any,any,,submerged,Water,,,8,15,FALSE,
0008,Wartortle,5,ultra-rare,3.6,16,40,"Freshwater, Hills, Jungle, Temperate, Tropical Island",Freezing,any,any,,fishing,,,,8,15,FALSE,
0009,Blastoise,1,ultra-rare,0.4,36,53,"Freshwater, Hills, Jungle, Temperate, Tropical Island",Freezing,any,any,,grounded,Natural,minecraft:water,,8,15,,
0009,Blastoise,2,ultra-rare,0.4,36,53,"Freshwater, Hills, Jungle, Temperate, Tropical Island",Freezing,any,any,,submerged,Water,,,,,TRUE,
0009,Blastoise,3,ultra-rare,0.4,36,53,"Freshwater, Hills, Jungle, Temperate, Tropical Island",Freezing,any,any,,fishing,,,,,,TRUE,
0009,Blastoise,4,ultra-rare,0.4,36,53,"Freshwater, Hills, Jungle, Temperate, Tropical Island",Freezing,any,any,,submerged,Water,,,8,15,FALSE,
0009,Blastoise,5,ultra-rare,0.4,36,53,"Freshwater, Hills, Jungle, Temperate, Tropical Island",Freezing,any,any,,fishing,,,,8,15,FALSE,
